productName,productPrice,productCrossPrice,productRecon,Type de produit,Couleur,El�ment de format,Vitesse du processeur,Famille de processeur,Mod�le de processeur,Fr�quence Turbo (max),Nombre de coeurs de processeurs,Processeur nombre de threads,Le cache du processeur,M�moire interne,Type de m�moire interne,Fr�quence de la m�moire,Disposition de la m�moire,Emplacements m�moire,Element de la forme de m�moire,Capacit� totale de stockage,Supports de stockage,Quantit� de disques durs install�s,Capacit� disque dur,Interface du disque dur,Vitesse de rotation du disque dur,Lecteur de cartes m�moires int�gr�,Taille de l'�cran,R�solution de l'�cran,�cran tactile,R�tro�clairage � DEL,Full HD,Surface d'affichage,Mod�le d'adaptateur graphique � bord,Mod�le d'adaptateur graphique discr�t,Type de lecteur optique,LightScribe,Nombre de haut-parleurs int�gr�s,Microphone int�gr�,Cam�ra avant,Bluetooth,3G,4G,Wifi,Standards wifi,Ethernet/LAN,LAN Ethernet : taux de transfert des donn�es,Version du Bluetooth,Quantit� de Ports USB 2.0,Quantit� de Ports USB 3.0,Quantit� de ports HDMI,Port DVI,Nombre de port ethernet LAN (RJ-45),Entr�e jack microphone,Sortie S/PDIF,Combo casque / microphone Port,Connecteur d' accueil,Entr�e DC,Port ExpressCard,Type de logement de CardBus PCMCIA,Logement SmartCard,Dispositif de pointage,Pav� num�rique,Syst�me d'exploitation install�,Architecture du syst�me d'exploitation,Intel Wireless Display Technology,Technologie Smart Connect d'Intel,Technologie antivol d'Intel,Technologie de protection de l'identit� d'Intel,Technologie vPro d'Intel,Technologies Intel visuelle,Technologie Hyper-Threading d'Intel,La technologie Intel Turbo Boost,Technologie Virtualization d'Intel,Technologie SpeedStep �volu�e d'Intel,Technologie batterie,Nombre de cellules de batterie,Capacit� de la batterie,AC adaptateur puissance,Poids,Largeur,Profondeur,Hauteur,Carte de garantie,Certifi� Energy Star,Conformit� EPEAT
HP 15-af104nf,329 €,599 €,Produit Reconditionn� � neuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 15-ac117nf,329 €,599 €,Produit Reconditionn� � neuf,Ordinateur portable,Noir,Bo�te coquille,,Intel Pentium,3825U,,2,4,2 Mo,4 Go,DDR3L-SDRAM,,1 x 4 Go,,,1000 Go,Disque dur,1,1000 Go,SATA,5400 tr/min,Oui,"39,6 cm (15.6"")",1366 x 768 pixels,Non,Oui,Non,,Intel HD Graphics,Non,DVD Super Multi,Non,2,Oui,Oui,Oui,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",4.0,2,,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,,Oui,Windows 10 Home,64-bit,Oui,,Non,Oui,Non,,Oui,Non,"VT-x, VT-d",Oui,Lithium-Ion (Li-Ion),4,41 Wh,,"2,19 kg","38,4 cm","25,5 cm","2,43 cm",,Oui,Argent
HP Pavilion 15-n039sf,329 €,499 €,Produit Reconditionn� � neuf,Ordinateur portable,"Noir, Argent, Blanc",Clapet,,AMD A,A4-5000,,4,4,2 Mo,4 Go,DDR3-SDRAM,1600 MHz,1 x 4 Go,2x SO-DIMM,SO-DIMM,750 Go,Disque dur,1,750 Go,SATA,5400 tr/min,Oui,"39,6 cm (15.6"")",1366 x 768 pixels,Non,Oui,,Gloss,AMD Radeon HD 8330,Non,DVD Super Multi DL,Non,2,Oui,Oui,Non,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",,1,,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,Pav� tactile,Oui,Windows 8,64-bit,Non,Non,Non,Non,Non,,Non,Non,,,Lithium-Ion (Li-Ion),4,,65 W,"2,28 kg","38,6 cm","25,8 cm","2,26 cm",Oui,Oui,Argent
HP Compaq 15-h206nf,329 €,599 €,Produit Reconditionn� � neuf,Ordinateur portable,"Noir, Gris",Bo�te coquille,,AMD A,A6-5200,,4,4,2 Mo,4 Go,DDR3L-SDRAM,1600 MHz,1 x 4 Go,,,1000 Go,Disque dur,1,1000 Go,SATA,5400 tr/min,Oui,"40 cm (16"")",1366 x 768 pixels,Non,Oui,Non,Gloss,AMD Radeon HD 8400,Non,DVD Super Multi,Non,2,Oui,Oui,,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",,2,1,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,Pav� tactile,Oui,Windows 8.1,64-bit,Non,Non,Non,Non,Non,Non,Non,Non,,,Lithium-Ion (Li-Ion),4,41 Wh,45 W,2 kg,38 cm,26 cm,2 cm,Oui,Oui,Argent
HP Pavilion 15-e053sf,329 €,599 €,Produit Reconditionn� Grade B,Ordinateur portable,"Noir, Blanc",Bo�te coquille,,Intel Core i3-3xxx,i3-3110M,,2,4,3 Mo,8 Go,DDR3-SDRAM,1600 MHz,,2x SO-DIMM,SO-DIMM,1000 Go,Disque dur,1,1000 Go,SATA,5400 tr/min,Oui,"39,6 cm (15.6"")",1366 x 768 pixels,Non,Oui,,,Intel HD Graphics 4000,AMD Radeon HD 8670M,DVD Super Multi DL,,2,Oui,Oui,Non,Non,,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",,1,,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,Pav� tactile,Oui,Windows 8,64-bit,Oui,Non,Oui,Oui,Non,"Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video",Oui,Non,,Oui,Lithium-Ion (Li-Ion),6,,90 W,"2,35 kg","37,9 cm","24,6 cm","3,18 cm",Oui,Oui,Argent
HP Pavilion 15-e053sf,329 €,599 €,Produit Reconditionn� Grade A,Ordinateur portable,"Noir, Blanc",Bo�te coquille,,Intel Core i3-3xxx,i3-3110M,,2,4,3 Mo,8 Go,DDR3-SDRAM,1600 MHz,,2x SO-DIMM,SO-DIMM,1000 Go,Disque dur,1,1000 Go,SATA,5400 tr/min,Oui,"39,6 cm (15.6"")",1366 x 768 pixels,Non,Oui,,,Intel HD Graphics 4000,AMD Radeon HD 8670M,DVD Super Multi DL,,2,Oui,Oui,Non,Non,,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",,1,,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,Pav� tactile,Oui,Windows 8,64-bit,Oui,Non,Oui,Oui,Non,"Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video",Oui,Non,,Oui,Lithium-Ion (Li-Ion),6,,90 W,"2,35 kg","37,9 cm","24,6 cm","3,18 cm",Oui,Oui,Argent
HP 15-ac113nf,329 €,599 €,Produit Reconditionn� � neuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 15-g255nf,329 €,599 €,Produit Reconditionn� � neuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion DV6-3351SF,329 €,599 €,Produit Reconditionn� Grade B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 15-g256nf,339 €,499 €,Produit Reconditionn� � neuf,,Noir r�glisse,,,Processeur AMD Quad-Core S�rie A,"AMD Quad-Core A4-6210 APU avec carte graphique Radeon R3 (1,8 GHz, 2 Mo de m�moire cache)",,,,,,,,,,,,,,,,,,,,,,,,,Carte graphique AMD Radeon HD 8570M (1 Go de m�moire DDR3 d�di�e),Graveur DVD SuperMulti,,,,Webcam TrueVision HD HP avec microphone num�rique int�gr�,,,,,,,,,,,,,,,,,,,,,,Pav� tactile avec prise en charge de gestes multipoints,,Windows 8.1 64,,,,,,,,,,,,,,,,"2,23 kg",,,,,Certifi� ENERGY STAR� ; Certifi� EPEAT� Silver,
HP Pavilion 15-p144nf,339 €,529 €,Produit Reconditionn� Grade C,Ordinateur portable,Argent,,,Intel Core i3-4xxx,,,2,4,3 Mo,,,,,,,,Disque dur,,,SATA,5400 tr/min,,,,,,Non,,,,DVD Super Multi,Non,,,,Oui,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,,4.0,,,,Non,1,,Non,Oui,Non,,Non,Non,Non,Pavé tactile,,,,Oui,Oui,Oui,,Non,"Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video",Oui,Non,"VT-d, VT-x",,Lithium-Ion (Li-Ion),4,,65W,"2,54 kg","38,45 cm","26,02 cm","2,53 cm",,,
HP 15-g211nf,349 €,699 €,Produit Reconditionn� � neuf,Ordinateur portable,"Noir, Gris",Bo�te coquille,,AMD A,A8-6410,,4,4,2 Mo,4 Go,DDR3L-SDRAM,1333 MHz,1 x 4 Go,2x SO-DIMM,SO-DIMM,1000 Go,Disque dur,1,1000 Go,SATA,5400 tr/min,Oui,"39,62 cm (15.6"")",1366 x 768 pixels,Non,Oui,Non,Gloss,AMD Radeon R5,AMD Radeon HD 8570M,DVD Super Multi,Non,2,Oui,Oui,Oui,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10, 100 Mbit/s",4.0,2,1,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,Pav� tactile,Oui,Windows 8.1,64-bit,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Lithium-Ion (Li-Ion),4,41 Wh,65W,"2,23 kg","37,8 cm","25,9 cm","2,53 cm",Oui,Oui,Argent
HP Pavilion Sleekbook 15-b152sf,349 €,599 €,Produit Reconditionn� Grade B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 15-af009nf,349 €,599 €,Produit Reconditionn� � neuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 15-g243nf,349 €,599 €,Produit Reconditionn� � neuf,Ordinateur portable,"Noir, Blanc",Bo�te coquille,,AMD A,A8-6410,,4,4,2 Mo,4 Go,DDR3L-SDRAM,1333 MHz,1 x 4 Go,,,1000 Go,Disque dur,1,1000 Go,SATA,5400 tr/min,Oui,"40 cm (16"")",1366 x 768 pixels,Non,Oui,Non,Gloss,AMD Radeon R5,AMD Radeon HD 8570M,DVD Super Multi,Non,2,Oui,Oui,Oui,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",4.0,2,1,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,,Oui,Windows 8.1,64-bit,Non,Non,Non,Non,Non,Non,Non,Non,,,Lithium-Ion (Li-Ion),4,41 Wh,65 W,2 kg,38 cm,26 cm,3 cm,,Oui,Argent
HP Pavilion 15-p224nf,359 €,499 €,Produit Reconditionn� � neuf,Ordinateur portable,"Noir, Argent",Bo�te coquille,,AMD A,A6-6310,,4,4,2 Mo,6 Go,DDR3L-SDRAM,1600 MHz,1 x 2 + 1 x 4,2x SO-DIMM,SO-DIMM,1000 Go,Disque dur,1,1000 Go,SATA,5400 tr/min,Oui,"40 cm (16"")",1366 x 768 pixels,Non,Oui,Non,,AMD Radeon R4,AMD Radeon R7 M260,DVD Super Multi,Non,2,Oui,Oui,Oui,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",4.0,1,2,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,,Oui,Windows 8.1,64-bit,Non,Non,Non,Non,Non,Non,Non,Non,,Non,Lithium-Ion (Li-Ion),4,41 Wh,65 W,2 kg,38 cm,26 cm,2 cm,Oui,Oui,Argent
HP Pavilion 15-p228nf,359 €,499 €,Produit Reconditionn� � neuf,Ordinateur portable,"Noir, Argent",Bo�te coquille,,Intel Core i3-5xxx,i3-5010U,,2,4,3 Mo,8 Go,DDR3L-SDRAM,1600 MHz,1 x 8 Go,2x SO-DIMM,SO-DIMM,1000 Go,Disque dur,1,1000 Go,SATA,5400 tr/min,Oui,"40 cm (16"")",1920 x 1080 pixels,Non,Oui,Oui,,Intel HD Graphics 5500,NVIDIA GeForce 830M,DVD Super Multi,Non,2,Oui,Oui,Oui,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",4.0,1,2,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,,Oui,Windows 8.1,64-bit,Oui,,,Oui,Non,"Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video",Oui,Non,"VT-d, VT-x",Oui,Lithium-Ion (Li-Ion),4,41 Wh,65 W,2 kg,38 cm,26 cm,2 cm,Oui,Oui,Argent
HP 15-af104nf,369 €,599 €,Produit Reconditionn� � neuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 15-ac112nf,379 €,699 €,Produit Reconditionn� � neuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion Sleekbook 15-b154sf,379 €,599 €,Produit Reconditionn� Grade B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 15-r145nf,379 €,599 €,Produit Reconditionn� � neuf,Ordinateur portable,"Noir, Gris",Bo�te coquille,,Intel Core i3-4xxx,i3-4005U,,2,4,3 Mo,4 Go,DDR3L-SDRAM,1600 MHz,1 x 4 Go,,SO-DIMM,500 Go,Disque dur,1,500 Go,SATA,5400 tr/min,Oui,"40 cm (16"")",1366 x 768 pixels,Non,Oui,Non,Gloss,Intel HD Graphics 4400,Non,DVD Super Multi,Non,2,Oui,Oui,,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",,2,1,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,Pav� tactile,Oui,Windows 8.1,64-bit,Oui,Oui,Oui,Oui,Non,"Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video",Oui,Non,VT-x,Oui,Lithium-Ion (Li-Ion),4,41 Wh,45 W,2 kg,38 cm,26 cm,3 cm,Oui,,
HP 15-r227nf,389 €,599 €,Produit Reconditionn� � neuf,Ordinateur portable,Noir,Bo�te coquille,,Intel Pentium,N3540,,4,4,2 Mo,4 Go,DDR3L-SDRAM,1333 MHz,1 x 4 Go,,SO-DIMM,1000 Go,Disque dur,1,1000 Go,SATA,5400 tr/min,Oui,"39,6 cm (15.6"")",1366 x 768 pixels,Non,Oui,Non,Gloss,Intel HD Graphics,NVIDIA GeForce 820M,DVD Super Multi,Non,2,Oui,Oui,Oui,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",4.0,2,1,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,Pav� tactile,Oui,Windows 8.1,64-bit,Oui,Oui,Non,,Non,,Non,Non,VT-x,Oui,Lithium-Ion (Li-Ion),4,41 Wh,65 W,"2,23 kg","37,8 cm","25,9 cm","2,53 cm",Oui,Oui,Argent
HP 15-ac129nf,399 €,699 €,Produit Reconditionn� � neuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 15-ac003nf,399 €,599 €,Produit Reconditionn� � neuf,Ordinateur portable,Noir,Clapet,,Intel Core i3-4xxx,i3-4005U,,2,4,3 Mo,4 Go,DDR3L-SDRAM,1600 MHz,1 x 4 Go,,,1000 Go,Disque dur,1,1000 Go,SATA,5400 tr/min,Oui,"39,6 cm (15.6"")",1366 x 768 pixels,Non,Oui,,,Intel HD Graphics 4400,Non,DVD Super Multi,Non,2,Oui,Oui,Oui,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",4.0,2,,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,,Oui,Windows 8.1,64-bit,Oui,Oui,Oui,Oui,Non,,Oui,Non,VT-x,Oui,Lithium Polym�re (LiPo),4,41 Wh,,"2,19 kg","38,4 cm","25,5 cm","2,43 cm",,Oui,Argent
HP Envy m6-1261sf,399 €,599 €,Produit Reconditionn� Grade B,Ordinateur portable,Noir,Clapet,,Intel Core i5-3xxx,i5-3230M,,2,4,3 Mo,6 Go,DDR3-SDRAM,,1 x 2 + 1 x 4,2x SO-DIMM,,1000 Go,Disque dur,1,1000 Go,SATA,5400 tr/min,,"39,6 cm (15.6"")",1366 x 768 pixels,Non,Oui,,,Intel HD Graphics 4000,AMD Radeon HD 7670M,DVD Super Multi DL,,2,Oui,,Oui,Non,,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100,1000 Mbit/s",,1,,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,Pav� tactile,Oui,Windows 8,64-bit,Oui,,Oui,Oui,Non,,Oui,2.0,,Oui,Lithium-Ion (Li-Ion),6,,90 W,"2,4 kg","37,9 cm",25 cm,"2,65 cm",,Oui,Argent
HP Pavilion 15-e051sf,399 €,599 €,Produit Reconditionn� Grade B,Ordinateur portable,"Noir, Argent",Clapet,,Intel Core i5-3xxx,i5-3230M,,2,4,3 Mo,4 Go,DDR3-SDRAM,1600 MHz,1 x 4 Go,2x SO-DIMM,SO-DIMM,1000 Go,Disque dur,1,1000 Go,SATA,5400 tr/min,Oui,"39,6 cm (15.6"")",1366 x 768 pixels,Non,Oui,,,Intel HD Graphics 4000,AMD Radeon HD 8670M,DVD Super Multi DL,,2,Oui,Oui,Non,Non,,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",,1,,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,Pav� tactile,Oui,Windows 8,64-bit,Oui,Non,Oui,Oui,Non,,Oui,2.0,,Oui,Lithium-Ion (Li-Ion),6,,90 W,"2,35 kg","37,9 cm","24,6 cm","3,18 cm",Oui,Oui,Argent
HP Pavilion 15-p070nf,399 €,599 €,Produit Reconditionn� Grade A,Ordinateur portable,Blanc,Bo�te coquille,"1,7 GHz",Intel Core i5,i5-4210U,"2,7 GHz",2,4,3 Mo,4 Go,DDR3L-SDRAM,1600 MHz,1 x 4 Go,,,750 Go,HDD,1,750 Go,SATA,5400 tr/min,Oui,"39,62 cm (15.6"")",1366 x 768 pixels,Non,Oui,Non,Gloss,Intel HD Graphics 4400,NVIDIA GeForce 840M,DVD Super Multi,Non,2,Oui,Oui,Oui,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10, 100 Mbit/s",4.0,1,2,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,Pav� tactile,Oui,Windows 8.1,64-bit,Oui,Oui,Oui,Oui,Non,"Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video",Oui,2.0,VT-x,Oui,Lithium-Ion (Li-Ion),4,41 Wh,65W,"2,27 kg","38,45 cm","26,02 cm","2,39 cm",Oui,Oui,Argent
HP Pavilion 15-p145nf,399 €,599 €,Produit Reconditionn� Grade B,Ordinateur portable,"Noir, Argent",Clapet,,Intel Core i5-4xxx,i5-4210U,,2,4,3 Mo,4 Go,DDR3L-SDRAM,1600 MHz,1 x 4 Go,2x SO-DIMM,SO-DIMM,750 Go,Disque dur,1,750 Go,SATA,5400 tr/min,Oui,"39,6 cm (15.6"")",1366 x 768 pixels,Non,Oui,,,Intel HD Graphics 4400,NVIDIA GeForce 840M,DVD Super Multi,Non,2,Oui,Oui,Oui,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",4.0,1,,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,,Oui,Windows 8.1,64-bit,Oui,Oui,Oui,Oui,Non,,Oui,2.0,VT-x,Oui,Lithium-Ion (Li-Ion),4,41 Wh,65 W,"2,27 kg","38,5 cm",26 cm,"2,39 cm",Oui,Oui,Argent
HP Pavilion 15-p259nf,399 €,599 €,Produit Reconditionn� � neuf,Ordinateur portable,Blanc,Bo�te coquille,,Intel Core i3-5xxx,i3-5010U,,2,4,3 Mo,6 Go,DDR3L-SDRAM,1600 MHz,1 x 2 + 1 x 4,,,1000 Go,Disque dur,1,1000 Go,SATA,5400 tr/min,Oui,"40 cm (16"")",1366 x 768 pixels,Non,Oui,,,Intel HD Graphics 5500,NVIDIA GeForce 830M,DVD Super Multi,,2,Oui,Oui,Oui,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",4.0,1,2,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,Pav� tactile,Oui,Windows 8.1,64-bit,Oui,,,Oui,Non,"Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video",Oui,Non,,,Lithium Polym�re (LiPo),4,41 Wh,65 W,2 kg,38 cm,26 cm,2 cm,,Oui,Argent
HP Pavilion 15-p263nf,399 €,699 €,Produit Reconditionn� � neuf,Ordinateur portable,Argent,Bo�te coquille,,Intel Core i3-5xxx,i3-5010U,,2,4,3 Mo,4 Go,DDR3L-SDRAM,1600 MHz,1 x 4 Go,,,500 Go,Disque dur,1,500 Go,SATA,5400 tr/min,Oui,"39,6 cm (15.6"")",1920 x 1080 pixels,Non,Oui,Oui,,Intel HD Graphics 5500,Non,DVD Super Multi,Non,2,Oui,Oui,Oui,Non,Non,Oui,"802.11g, 802.11b, 802.11n",Oui,"10,100 Mbit/s",4.0,1,2,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,,Oui,Windows 8.1,64-bit,Oui,,,Oui,Non,"Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video",Oui,Non,"VT-x, VT-d",Oui,Lithium Polym�re (LiPo),4,41 Wh,45 W,"2,27 kg","38,5 cm",26 cm,"2,39 cm",,Oui,Argent
HP Compaq 15-a001ef,399 €,699 €,Produit Reconditionn� � neuf,Ordinateur portable,Gris,Bo�te coquille,,Intel Pentium,N3510,,4,4,2 Mo,4 Go,DDR3L-SDRAM,1600 MHz,1 x 4 Go,,,1000 Go,Disque dur,1,1000 Go,SATA,5400 tr/min,Oui,"39,6 cm (15.6"")",1366 x 768 pixels,Non,Oui,Non,Gloss,Intel HD Graphics,Non,DVD Super Multi,Non,2,Oui,Oui,,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",,2,1,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,Pav� tactile,Oui,Windows 8.1,64-bit,Oui,Oui,Non,Non,Non,Non,Non,Non,VT-x,Oui,Lithium-Ion (Li-Ion),4,41 Wh,45 W,"2,5 kg","37,8 cm",26 cm,"2,8 cm",Oui,,
HP Pavilion Sleekbook 15-b160sf,419 €,699 €,Produit Reconditionn� Grade C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion 15-n274nf,429 €,549 €,Produit Reconditionn� � neuf,Ordinateur portable,Blanc,Bo�te coquille,2 GHz,AMD A,A10-4655M,"2,8 GHz",4,4,4 Mo,6 Go,DDR3L-SDRAM,1600 MHz,1 x 2 + 1 x 4 Go,2x SO-DIMM,,750 Go,HDD,1,750 Go,SATA,5400 tr/min,Oui,"39,62 cm (15.6"")",1366 x 768 pixels,Non,Oui,,,AMD Radeon HD 7620G,AMD Radeon HD 8670M,DVD Super Multi,,2,Oui,Oui,Oui,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10, 100 Mbit/s",4.0,1,2,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,Pav� tactile,Oui,Windows 8.1,64-bit,,,,,,,,,,,Lithium-Ion (Li-Ion),4,41 Wh,90W,"2,3 kg","38,56 cm","25,8 cm","2,26 cm",,Oui,Argent
HP 15-ac013nf,429 €,699 €,Produit Reconditionn� � neuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 15-r257nf,429 €,599 €,Produit Reconditionn� � neuf,Ordinateur portable,Noir,Bo�te coquille,,Intel Core i3-4xxx,i3-4005U,,2,4,3 Mo,4 Go,DDR3L-SDRAM,1600 MHz,1 x 4 Go,,SO-DIMM,1000 Go,Disque dur,1,1000 Go,SATA,5400 tr/min,Oui,"40 cm (16"")",1366 x 768 pixels,Non,Oui,Non,Gloss,Intel HD Graphics 4400,NVIDIA GeForce 820M,DVD Super Multi,Non,2,Oui,Oui,Oui,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",4.0,2,1,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,Pav� tactile,Oui,Windows 8.1,64-bit,Oui,Oui,Oui,Oui,Non,"Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video",Oui,Non,VT-x,Oui,Lithium-Ion (Li-Ion),4,41 Wh,65 W,2 kg,38 cm,26 cm,3 cm,Oui,Oui,Argent
HP 15-ac120nf,439 €,699 €,Produit Reconditionn� � neuf,Ordinateur portable,Argent,Clapet,,Intel Core i5-5xxx,i5-5200U,,2,4,3 Mo,4 Go,DDR3L-SDRAM,,1 x 4 Go,,,1000 Go,Disque dur,1,1000 Go,SATA,5400 tr/min,Oui,"39,6 cm (15.6"")",1366 x 768 pixels,Non,Oui,,,Intel HD Graphics 5500,AMD Radeon R5 M330,DVD Super Multi,Non,2,Oui,Oui,Oui,Non,Non,Oui,"802.11b, 802.11g, 802.11n",Oui,"10,100 Mbit/s",4.0,2,,1,Non,1,Non,Non,Oui,Non,Oui,Non,Non,Non,,Oui,Windows 10 Home,64-bit,Oui,,Non,Oui,Non,,Oui,2.0,"VT-x, VT-d",Oui,Lithium-Ion (Li-Ion),4,41 Wh,,"2,19 kg","38,4 cm","25,5 cm","2,43 cm",,Oui,Argent
HP 15-ac140nf,449 €,699 €,Produit Reconditionn� � neuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 15-ac123nf,449 €,799 €,Produit Reconditionn� � neuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 15-ac121nf,449 €,799 €,Produit Reconditionn� � neuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion g6-2159sf,449 €,699 €,Produit Reconditionn� Grade A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
